Residence_city,Socioeconomic_level,Civil_status,Age,State,Province,Vulnerable_group,Desired_program,Family_income,Father_level,Mother_level,STEM_subjects,H_subjects,Dropout
LOCAL,2,Married,36,LOCAL,LOCAL,2,UNSPECIFIED,1200000,HIGH SCHOOL,HIGH SCHOOL,46.7,51.5,YES
LOCAL,2,Unmarried,38,LOCAL,LOCAL,2,UNSPECIFIED,4500000,HIGH SCHOOL,HIGH SCHOOL,43,45.2,YES
LOCAL,2,Unmarried,33,LOCAL,NEIGHBOR,2,UNSPECIFIED,1800000,HIGH SCHOOL,UNDERGRADUATE,42.5,49.8,NO
LOCAL,3,Unmarried,27,LOCAL,LOCAL,2,UNSPECIFIED,5000000,HIGH SCHOOL,TECHNOLOGIST,45.9,42.1,YES
LOCAL,3,Unmarried,30,LOCAL,LOCAL,2,UNSPECIFIED,1500000,HIGH SCHOOL,HIGH SCHOOL,45.3,47.8,YES
LOCAL,1,Unmarried,30,LOCAL,LOCAL,2,UNSPECIFIED,15000000,HIGH SCHOOL,HIGH SCHOOL,50.8,43,YES
LOCAL,2,Unmarried,10,LOCAL,LOCAL,2,UNSPECIFIED,2000000,HIGH SCHOOL,HIGH SCHOOL,44,42.1,YES
LOCAL,4,Unmarried,29,LOCAL,LOCAL,2,UNSPECIFIED,1500000,HIGH SCHOOL,UNDERGRADUATE,42.9,39.7,NO
LOCAL,2,Unmarried,30,LOCAL,LOCAL,2,UNSPECIFIED,1200000,HIGH SCHOOL,HIGH SCHOOL,48.3,42,YES
LOCAL,2,Unmarried,29,LOCAL,LOCAL,2,UNSPECIFIED,2000000,HIGH SCHOOL,PRIMARY SCHOOL,45.6,43.2,NO
LOCAL,3,Unmarried,28,LOCAL,LOCAL,2,UNSPECIFIED,1100000,HIGH SCHOOL,HIGH SCHOOL,42.3,48.7,NO
LOCAL,2,Unmarried,28,LOCAL,NEIGHBOR,2,UNSPECIFIED,1000000,HIGH SCHOOL,PRIMARY SCHOOL,47.8,50.5,YES
LOCAL,4,Unmarried,28,LOCAL,LOCAL,2,UNSPECIFIED,1500000,HIGH SCHOOL,HIGH SCHOOL,49,55.8,NO
LOCAL,1,Unmarried,27,LOCAL,LOCAL,2,UNSPECIFIED,350000,HIGH SCHOOL,HIGH SCHOOL,45,42.9,YES
LOCAL,2,Unmarried,27,LOCAL,LOCAL,2,UNSPECIFIED,650000,HIGH SCHOOL,TECHNOLOGIST,41.6,44.4,YES
LOCAL,3,Unmarried,28,LOCAL,LOCAL,2,UNSPECIFIED,500000,HIGH SCHOOL,HIGH SCHOOL,48.1,51.1,NO
LOCAL,2,Unmarried,27,LOCAL,LOCAL,2,UNSPECIFIED,515800,HIGH SCHOOL,HIGH SCHOOL,52.2,53.8,NO
LOCAL,2,Unmarried,27,LOCAL,LOCAL,2,UNSPECIFIED,1200000,HIGH SCHOOL,HIGH SCHOOL,42.1,44.3,YES
LOCAL,2,Unmarried,27,LOCAL,LOCAL,2,UNSPECIFIED,400000,HIGH SCHOOL,HIGH SCHOOL,56.2,50.2,YES
LOCAL,3,Unmarried,27,LOCAL,LOCAL,2,UNSPECIFIED,3766261,HIGH SCHOOL,UNDERGRADUATE,67.6,63.7,NO
LOCAL,1,Unmarried,27,LOCAL,LOCAL,2,UNSPECIFIED,1500000,HIGH SCHOOL,HIGH SCHOOL,55.8,51.7,YES
NEIGHBOR,2,Unmarried,27,LOCAL,LOCAL,2,UNSPECIFIED,1500000,HIGH SCHOOL,TECHNOLOGIST,49.1,46.7,YES
LOCAL,3,Unmarried,26,LOCAL,LOCAL,2,UNSPECIFIED,3500000,HIGH SCHOOL,TECHNICAL,46.6,50.3,YES
LOCAL,2,Married,27,LOCAL,LOCAL,2,UNSPECIFIED,200000,HIGH SCHOOL,TECHNICAL,49.2,47.9,NO
LOCAL,1,Unmarried,26,LOCAL,LOCAL,2,UNSPECIFIED,600000,HIGH SCHOOL,PRIMARY SCHOOL,34.2,46,YES
LOCAL,1,Unmarried,25,LOCAL,LOCAL,-1,UNSPECIFIED,4000000,HIGH SCHOOL,HIGH SCHOOL,43,43.3,NO
LOCAL,3,Unmarried,25,LOCAL,LOCAL,2,UNSPECIFIED,1500000,HIGH SCHOOL,HIGH SCHOOL,51.3,39.3,YES
LOCAL,2,Unmarried,24,LOCAL,LOCAL,2,UNSPECIFIED,2700000,HIGH SCHOOL,HIGH SCHOOL,42.8,44.8,YES
LOCAL,2,Unmarried,25,LOCAL,LOCAL,2,UNSPECIFIED,566700,HIGH SCHOOL,UNDERGRADUATE,53.5,48,NO
LOCAL,2,Unmarried,24,LOCAL,LOCAL,2,UNSPECIFIED,2500000,HIGH SCHOOL,HIGH SCHOOL,42.5,41,YES
LOCAL,1,Unmarried,25,LOCAL,LOCAL,2,UNSPECIFIED,500000,HIGH SCHOOL,PRIMARY SCHOOL,58.3,37,YES
LOCAL,4,Unmarried,30,LOCAL,NEIGHBOR,2,UNSPECIFIED,3500000,HIGH SCHOOL,PRIMARY SCHOOL,57,58.1,NO
LOCAL,2,Unmarried,29,LOCAL,LOCAL,2,UNSPECIFIED,3000000,HIGH SCHOOL,PRIMARY SCHOOL,40.3,46.5,NO
LOCAL,1,Unmarried,26,LOCAL,NEIGHBOR,2,UNSPECIFIED,700000,HIGH SCHOOL,PRIMARY SCHOOL,46.6,46.9,NO
LOCAL,2,Unmarried,27,FOREIGN,FOREIGN,2,UNSPECIFIED,300000,HIGH SCHOOL,HIGH SCHOOL,41.2,41.5,YES
LOCAL,1,Unmarried,29,LOCAL,NEIGHBOR,2,UNSPECIFIED,4000000,HIGH SCHOOL,HIGH SCHOOL,43.9,38.6,NO
LOCAL,3,Unmarried,25,LOCAL,NEIGHBOR,2,UNSPECIFIED,1000000,HIGH SCHOOL,UNDERGRADUATE,38,42.5,YES
FOREIGN,1,Unmarried,26,NEIGHBOR,FOREIGN,2,UNSPECIFIED,1000000,HIGH SCHOOL,HIGH SCHOOL,53.5,42.3,YES
LOCAL,2,Unmarried,27,LOCAL,LOCAL,2,UNSPECIFIED,500000,HIGH SCHOOL,HIGH SCHOOL,49.8,52.7,NO
LOCAL,3,Unmarried,34,LOCAL,LOCAL,2,UNSPECIFIED,3000000,HIGH SCHOOL,UNDERGRADUATE,44.5,40.5,NO
LOCAL,4,Unmarried,29,LOCAL,LOCAL,2,UNSPECIFIED,5000000,HIGH SCHOOL,UNDERGRADUATE,49.3,45.6,YES
LOCAL,2,Unmarried,27,LOCAL,LOCAL,2,INFORMATIC ENGINEERING,1200000,HIGH SCHOOL,HIGH SCHOOL,46.8,48,NO
LOCAL,3,Unmarried,26,LOCAL,LOCAL,2,UNSPECIFIED,1000000,HIGH SCHOOL,HIGH SCHOOL,49.3,42.8,YES
NEIGHBOR,1,Unmarried,26,NEIGHBOR,FOREIGN,2,UNSPECIFIED,500000,HIGH SCHOOL,HIGH SCHOOL,42.7,41.1,YES
LOCAL,1,Unmarried,26,LOCAL,NEIGHBOR,2,INFORMATIC ENGINEERING,1300000,HIGH SCHOOL,HIGH SCHOOL,54.6,63.9,NO
LOCAL,2,Unmarried,26,LOCAL,LOCAL,2,UNSPECIFIED,2600000,HIGH SCHOOL,TECHNOLOGIST,46.5,42.4,YES
LOCAL,3,Unmarried,25,LOCAL,LOCAL,2,UNSPECIFIED,2003000,HIGH SCHOOL,UNDERGRADUATE,66.6,45.8,YES
FOREIGN,1,Unmarried,25,NEIGHBOR,FOREIGN,2,UNSPECIFIED,1500000,HIGH SCHOOL,UNDERGRADUATE,54.9,50.6,YES
LOCAL,1,Unmarried,25,LOCAL,NEIGHBOR,2,INFORMATIC ENGINEERING,2000000,HIGH SCHOOL,HIGH SCHOOL,49.3,44.8,NO
LOCAL,3,Unmarried,24,LOCAL,NEIGHBOR,2,UNSPECIFIED,1400000,HIGH SCHOOL,HIGH SCHOOL,42.3,42.8,NO
LOCAL,3,Unmarried,24,LOCAL,LOCAL,2,UNSPECIFIED,1000000,HIGH SCHOOL,PRIMARY SCHOOL,51.3,36,YES
LOCAL,3,Unmarried,24,LOCAL,LOCAL,2,UNSPECIFIED,2000000,HIGH SCHOOL,HIGH SCHOOL,44.5,42.8,YES
LOCAL,1,Unmarried,24,NEIGHBOR,FOREIGN,2,UNSPECIFIED,1900000,HIGH SCHOOL,TECHNICAL,35.8,49.3,YES
LOCAL,2,Unmarried,24,LOCAL,LOCAL,2,UNSPECIFIED,300000,HIGH SCHOOL,HIGH SCHOOL,47,43.3,YES
LOCAL,3,Unmarried,24,LOCAL,LOCAL,2,UNSPECIFIED,2000000,HIGH SCHOOL,PRIMARY SCHOOL,45.4,49.5,NO
LOCAL,1,Unmarried,24,LOCAL,LOCAL,2,UNSPECIFIED,623000,HIGH SCHOOL,HIGH SCHOOL,38.3,32.8,NO
LOCAL,3,Unmarried,23,LOCAL,LOCAL,2,UNSPECIFIED,2500000,HIGH SCHOOL,UNDERGRADUATE,58.5,47.3,NO
LOCAL,2,Unmarried,23,LOCAL,LOCAL,2,UNSPECIFIED,500000,HIGH SCHOOL,PRIMARY SCHOOL,38.5,40.3,YES
